Date,Open,High,Low,Close,Adj_Close,Volume
2015-01-02,23.35,23.719999,23.280001,23.549999,22.2997,9331200
2015-01-05,23.07,23.07,21.950001,22.15,20.974028,23786900
2015-01-06,22.200001,22.790001,22.110001,22.530001,21.333855,15756800
2015-01-07,22.799999,22.9,22.389999,22.860001,21.64633,11749700
2015-01-08,23.049999,23.5,22.82,23.370001,22.129259,10959100
2015-01-09,23.52,23.610001,23.08,23.450001,22.205008,9904200
2015-01-12,23.02,23.17,22.450001,23.07,21.845182,15452300
2015-01-13,22.58,22.700001,20.950001,21.040001,20.196541,30072100
2015-01-14,19.26,19.360001,17.85,18.74,17.988741,60272100
2015-01-15,19.08,19.299999,18.32,18.33,17.595175,25351500
2015-01-16,18.629999,19.33,18.57,19.24,18.468697,25455700
2015-01-20,19.24,19.35,18.860001,19.27,18.497498,16892900
2015-01-21,19.110001,20.059999,19.09,19.85,19.054243,21354900
2015-01-22,20.48,20.559999,19.74,20.02,19.217426,19039500
2015-01-23,19.76,19.860001,19.190001,19.24,18.468697,23160600
2015-01-26,19.15,19.610001,18.959999,19.559999,18.775866,16288200
2015-01-27,18.200001,18.860001,18.01,18.379999,17.643169,33844700
2015-01-28,18.280001,18.32,17.4,17.42,16.721657,27404500
2015-01-29,17.42,17.42,16.43,16.83,16.155308,33264400
2015-01-30,16.74,17.26,16.610001,16.809999,16.136112,27276000
2015-02-02,16.98,17.5,16.809999,17.450001,16.750456,21217900
2015-02-03,18.299999,19.26,18.139999,18.98,18.219118,33141600
2015-02-04,18.459999,18.549999,18.01,18.290001,17.55678,22443900
2015-02-05,18.23,19.620001,18.110001,19.59,18.804665,35384100
2015-02-06,19.24,19.48,18.83,18.85,18.094332,22368200
2015-02-09,18.93,19.780001,18.85,19.51,18.727873,19437700
2015-02-10,19.25,19.26,18.48,18.709999,17.959944,16436700
2015-02-11,18.66,18.75,18.07,18.6,17.854351,18740200
2015-02-12,19.01,19.57,18.93,19.469999,18.689474,17414800
2015-02-13,19.77,20.5,19.76,20.290001,19.476606,19529900
2015-02-17,20.110001,21.17,19.959999,20.950001,20.110147,27489700
2015-02-18,20.870001,21.58,20.67,21.290001,20.436512,19412400
